poi,yellow,brown,green,food,hotel,retail,entertain,beauty,service,sport,civic,religious,education,health,government,transport
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
11,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0
3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
13,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1
4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
28,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,5
18,0,0,0,2,0,4,0,0,2,0,0,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,0,0,0,0,0,2,0,2,2,0,0,0,1,3,0,1
11,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
24,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,5
18,0,0,0,4,0,4,0,0,1,0,0,1,0,0,0,2
19,0,0,0,4,0,3,0,0,1,0,0,0,0,3,0,1
23,0,0,0,1,0,4,0,0,0,1,0,0,0,12,1,0
5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
13,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,1
